primary_key	age	gender	product_key	product	gross_revenue	discount	NPS_score	Churn_risk
1	48	female	2	medium	18.63	1.37	3	0.675
2	26	unknown	3	large	39.28	5.72	4	0.691
3	33	female	1	small	8.14	1.86	9	0.018
4	42	female	1	small	10.26	4.74	1	0.374
5	27	female	1	small	11.87	3.13	3	0.254
6	20	unknown	2	medium	18.16	1.84	5	0.199
7	31	unknown	2	medium	15.92	4.08	5	0.263
8	23	unknown	1	small	11.21	3.79	3	0.174
9	37	male	2	medium	23.6	1.4	5	0.374
10	42	unknown	2	medium	24.61	5.39	4	0.129
11	43	male	3	large	37.64	2.36	6	0.348
12	50	unknown	3	large	39.01	5.99	3	0.35
13	55	unknown	2	medium	18.81	1.19	4	0.583
14	36	unknown	2	medium	24.89	5.11	4	0.568
15	52	male	3	large	36.85	3.15	4	0.423
16	35	male	2	medium	21.94	3.06	2	0.088
17	54	male	1	small	14.33	5.67	3	0.209
18	43	male	1	small	10.16	4.84	7	0.307
19	34	female	2	medium	16.54	3.46	4	0.363
20	37	male	1	small	14.26	5.74	1	0.263
21	19	unknown	2	medium	24.33	5.67	2	0.262
22	36	unknown	3	large	31.51	3.49	5	0.581
23	36	unknown	1	small	14.65	5.35	6	0.638
24	53	male	1	small	7.27	2.73	7	0.457
25	56	male	1	small	8.43	1.57	4	0.833
26	31	unknown	2	medium	23.58	1.42	1	0.589
27	28	female	1	small	9.95	5.05	4	0.32
28	34	male	2	medium	18.22	1.78	5	0.573
29	19	male	3	large	31.19	3.81	3	0.549
30	25	male	2	medium	15.57	4.43	6	0.566
31	23	unknown	2	medium	20.94	4.06	4	0.272
32	55	unknown	3	large	35.62	4.38	4	0.567
33	52	male	2	medium	21.43	3.57	5	0.236
34	51	male	3	large	39.22	5.78	2	0.261
35	31	female	2	medium	15.71	4.29	4	0.328
36	27	male	3	large	30.12	4.88	5	0.482
37	36	unknown	1	small	5.9	4.1	3	0.656
38	58	female	2	medium	20.8	4.2	5	0.482
39	41	female	2	medium	16.23	3.77	8	0.689
40	38	male	2	medium	16.62	3.38	7	0.825
41	59	female	2	medium	21.9	3.1	4	0.232
42	48	male	3	large	39.35	5.65	6	0.414
43	36	female	2	medium	24.11	5.89	6	0.259
44	53	male	3	large	39.74	5.26	2	0.643
45	49	male	2	medium	19.8	5.2	6	0.833
46	47	male	2	medium	16.3	3.7	3	0.541
47	19	unknown	2	medium	16.11	3.89	2	0.585
48	39	unknown	1	small	10.98	4.02	6	0.833
49	39	male	1	small	6.24	3.76	3	0.547
50	57	male	1	small	9.65	5.35	9	0.517
51	47	male	2	medium	20.82	4.18	5	0.635
52	47	male	1	small	14.52	5.48	5	0.546
53	46	female	1	small	12.26	2.74	4	0.428
54	19	male	1	small	5.42	4.58	4	0.325
55	27	female	2	medium	20.93	4.07	3	0.148
56	54	male	2	medium	22.73	2.27	7	0.711
57	30	female	3	large	35.07	4.93	4	0.438
58	42	female	1	small	8.13	1.87	1	0.308
59	27	male	2	medium	16.46	3.54	5	0.469
60	56	female	3	large	30.81	4.19	3	0.395
61	19	female	2	medium	16.27	3.73	3	0.827
62	31	unknown	3	large	31.24	3.76	6	0.909
63	54	female	2	medium	18.73	1.27	3	0.394
64	23	unknown	2	medium	19.8	5.2	7	0.433
65	37	unknown	1	small	6.18	3.82	4	0.115
66	43	unknown	2	medium	15.34	4.66	2	0.676
67	25	male	2	medium	15.55	4.45	5	0.35
68	40	male	2	medium	20.52	4.48	2	0.521
69	47	unknown	2	medium	15.96	4.04	4	0.599
70	33	female	2	medium	17.37	2.63	9	0.581
71	35	male	2	medium	15.13	4.87	5	0.688
72	33	male	3	large	30.09	4.91	1	0.438
73	54	male	3	large	38.49	1.51	5	0.412
74	47	male	3	large	35.29	4.71	5	0.355
75	22	male	3	large	38.29	1.71	4	0.462
76	42	male	2	medium	19.42	5.58	5	0.238
77	34	unknown	2	medium	23.07	1.93	6	0.646
78	43	female	2	medium	22.22	2.78	7	0.778
79	32	unknown	1	small	7.98	2.02	5	0.547
80	42	female	3	large	30.21	4.79	4	0.096
81	43	female	1	small	8.14	1.86	1	0.631
82	19	unknown	2	medium	19.57	5.43	9	0.788
83	27	female	2	medium	21.98	3.02	6	0.317
84	43	male	2	medium	20.24	4.76	9	0.46
85	49	female	2	medium	15.92	4.08	2	0.48
86	27	female	2	medium	20.1	4.9	7	0.358
87	36	female	1	small	8.03	1.97	4	0.142
88	58	female	2	medium	19.39	5.61	6	0.544
89	33	unknown	2	medium	16.78	3.22	4	0.493
90	30	male	3	large	37.85	2.15	5	0.511
91	32	unknown	1	small	5.46	4.54	4	0.197
92	42	male	3	large	36.88	3.12	5	0.646
93	52	unknown	1	small	7.25	2.75	7	0.654
94	51	unknown	1	small	10.58	4.42	6	0.16
95	42	male	3	large	35.36	4.64	1	0.472
96	43	unknown	2	medium	18.69	1.31	1	0.663
97	48	male	2	medium	24.65	5.35	3	0.258
98	59	unknown	2	medium	24.95	5.05	5	0.485
99	25	unknown	2	medium	24.24	5.76	6	0.335
100	40	male	2	medium	17.8	2.2	4	0.653
101	18	male	2	medium	24.15	5.85	4	0.71
102	55	unknown	3	large	31.32	3.68	5	0.485
103	22	unknown	3	large	38.9	1.1	4	0.313
104	46	unknown	3	large	34.22	5.78	5	0.437
105	29	female	1	small	9.23	5.77	4	0.585
106	36	male	3	large	37.96	2.04	1	0.302
107	43	female	2	medium	24.52	5.48	4	0.053
108	54	male	3	large	36.48	3.52	4	0.135
109	19	female	3	large	36.07	3.93	2	0.347
110	18	male	1	small	8.6	1.4	3	0.306
111	26	male	2	medium	20.46	4.54	3	0.42
112	41	unknown	1	small	12.38	2.62	4	0.315
113	18	unknown	3	large	39.05	5.95	3	0.314
114	40	female	3	large	36.37	3.63	6	0.63
115	42	female	2	medium	17.6	2.4	1	0.445
116	34	female	1	small	11.95	3.05	4	0.89
117	56	male	1	small	6.66	3.34	6	0.365
118	43	female	1	small	14.5	5.5	4	0.195
119	56	female	2	medium	19.85	5.15	3	0.641
120	36	male	2	medium	22.84	2.16	6	0.632
121	42	male	1	small	6.99	3.01	2	0.431
122	55	male	2	medium	19.54	5.46	4	0.557
123	22	male	3	large	30.02	4.98	7	0.689
124	37	male	1	small	9.68	5.32	4	0.252
125	52	female	2	medium	15.98	4.02	4	0.733
126	20	female	1	small	7.29	2.71	5	0.245
127	31	female	2	medium	23.35	1.65	4	0.603
128	41	male	2	medium	23.28	1.72	6	0.175
129	46	male	2	medium	20.53	4.47	2	0.452
130	23	male	1	small	11.33	3.67	4	0.473
131	55	female	1	small	8.83	1.17	5	0.549
132	56	male	1	small	13.12	1.88	1	0.697
133	35	female	1	small	14.59	5.41	2	0.86
134	23	unknown	1	small	8.21	1.79	5	0.72
